Date,Price,Open,High,Low,Vol.,Change %
06/08/2024,75.71,76.74,77.15,74.83,1.16M,-5.33%
02/08/2024,79.97,81.47,83.37,79.44,742.85K,-1.41%
01/08/2024,81.11,82.46,82.75,80.26,1.01M,-1.74%
31/07/2024,82.55,82.37,82.79,81.29,1.67M,1.21%
30/07/2024,81.56,81.49,82.33,80.87,828.17K,0.41%
29/07/2024,81.23,81.02,81.61,80.32,475.15K,0.71%
26/07/2024,80.66,81.91,82.02,80.56,456.05K,-0.70%
25/07/2024,81.23,80.82,81.99,80.11,393.00K,-1.88%
24/07/2024,82.79,83.64,84.66,82.77,452.98K,-0.42%
23/07/2024,83.14,82.84,83.41,82.21,377.09K,0.78%
22/07/2024,82.5,82.21,82.86,81.73,318.71K,0.06%
19/07/2024,82.45,81.38,83.41,81.38,356.61K,-1.34%
18/07/2024,83.57,84.26,84.52,82.69,1.02M,-0.50%
17/07/2024,83.99,84.81,86.22,83.85,595.23K,-1.14%
16/07/2024,84.96,81.89,85,81.5,588.53K,4.44%
15/07/2024,81.35,81.48,82.02,80.35,596.89K,0.17%
12/07/2024,81.21,80.3,81.43,80.01,669.99K,0.49%
11/07/2024,80.81,81.03,81.12,78.99,422.39K,1.72%
10/07/2024,79.44,77.14,79.52,77.03,778.68K,3.91%
09/07/2024,76.45,76.47,76.95,75.9,644.08K,-0.17%
08/07/2024,76.58,75.69,76.62,75.25,414.06K,0.70%
05/07/2024,76.05,75.7,76.8,75.25,746.13K,1.89%
04/07/2024,74.64,74.15,74.77,74.15,64.98K,0.38%
03/07/2024,74.36,72.66,74.87,72.66,471.41K,3.38%
02/07/2024,71.93,72.15,72.96,71.3,847.22K,0.28%
28/06/2024,71.73,72.9,73.01,71.18,605.68K,-1.17%
27/06/2024,72.58,73.14,73.18,72.12,418.65K,0.23%
26/06/2024,72.41,72.24,73.1,71.9,547.89K,-0.45%
25/06/2024,72.74,72.71,73.05,72.11,375.08K,-0.14%
24/06/2024,72.84,72.86,73.42,72.44,472.65K,0.36%
21/06/2024,72.58,73.76,73.83,71.72,5.10M,-1.59%
20/06/2024,73.75,72.73,74.72,72.65,690.24K,1.81%
19/06/2024,72.44,72.15,72.5,71.82,426.51K,0.19%
18/06/2024,72.3,71.79,72.88,71.79,780.29K,-0.04%
17/06/2024,72.33,72.53,72.69,71.79,498.50K,-0.51%
14/06/2024,72.7,73.38,73.42,72.02,513.89K,0.10%
13/06/2024,72.63,73.07,73.69,72.19,414.60K,-1.14%
12/06/2024,73.47,74.11,74.72,73,763.22K,0.19%
11/06/2024,73.33,73.57,73.57,72.44,818.63K,-0.96%
10/06/2024,74.04,72.8,74.22,72.8,1.27M,2.34%
07/06/2024,72.35,73.87,74.29,72.03,925.92K,-4.80%
06/06/2024,76,73.46,76.06,73.43,674.99K,3.44%
05/06/2024,73.47,72.36,73.82,72.15,712.06K,1.76%
04/06/2024,72.2,74.08,74.32,71.52,953.29K,-3.90%
03/06/2024,75.13,75.16,75.93,74.57,1.01M,0.64%
31/05/2024,74.65,77.07,77.71,74.61,4.57M,-2.88%
30/05/2024,76.86,76.73,77.81,76.67,844.44K,0.09%
29/05/2024,76.79,77.81,78.17,76.64,1.06M,-2.04%
28/05/2024,78.39,78,78.42,77.47,530.52K,0.91%
27/05/2024,77.68,77.75,77.91,77.4,204.03K,0.78%
24/05/2024,77.08,76.93,77.34,76.31,1.09M,0.80%
23/05/2024,76.47,77.19,77.97,76.08,580.29K,-1.29%
22/05/2024,77.47,78.73,78.73,76.7,671.60K,-1.84%
21/05/2024,78.92,78.03,78.95,77.76,556.71K,1.71%
17/05/2024,77.59,76.77,77.67,76.39,606.98K,2.00%
16/05/2024,76.07,75.94,76.72,75.27,634.90K,-0.03%
15/05/2024,76.09,76.21,76.7,74.71,581.98K,0.71%
14/05/2024,75.55,75.03,75.6,74.69,608.02K,1.30%
13/05/2024,74.58,74.92,75.14,74.02,564.08K,-0.71%
10/05/2024,75.11,77.52,78.15,74.29,668.46K,-1.56%
09/05/2024,76.3,75,76.59,74.97,695.11K,2.22%
08/05/2024,74.64,73.23,74.79,73.22,602.42K,1.00%
07/05/2024,73.9,73.3,73.91,73.09,396.41K,0.57%
06/05/2024,73.48,73.29,73.83,72.69,493.30K,1.94%
03/05/2024,72.08,72.75,73.16,71.22,403.27K,-0.61%
02/05/2024,72.52,71.99,72.89,71.63,1.12M,-0.45%
01/05/2024,72.85,71.97,73.85,71.97,555.46K,1.58%
30/04/2024,71.72,71.81,72.45,71.21,887.13K,-2.02%
29/04/2024,73.2,73.82,74.13,71.9,641.45K,-0.80%
26/04/2024,73.79,74.04,74.45,72.78,364.44K,0.52%
25/04/2024,73.41,71.62,73.73,70.56,652.09K,1.97%
24/04/2024,71.99,71.3,72.23,71.3,824.90K,0.46%
23/04/2024,71.66,69.99,71.7,69.78,1.17M,1.52%
22/04/2024,70.59,70.78,71.54,70.01,546.73K,-2.47%
19/04/2024,72.38,72.57,73.04,72.04,687.38K,-0.21%
18/04/2024,72.53,72.9,73.29,71.82,665.64K,0.01%
17/04/2024,72.52,71,73.31,70.98,922.54K,2.39%
16/04/2024,70.83,69.26,71.21,68.75,1.00M,0.34%
15/04/2024,70.59,71.93,72.15,69.57,736.11K,-1.05%
12/04/2024,71.34,73.11,74.72,70.88,812.40K,-0.93%
11/04/2024,72.01,70.79,72.53,70.26,765.65K,2.64%
10/04/2024,70.16,68.09,70.31,67.44,587.08K,1.40%
09/04/2024,69.19,68.95,69.76,68.64,1.06M,1.79%
08/04/2024,67.97,68.96,69.36,67.19,724.28K,-1.12%
05/04/2024,68.74,67.67,69.38,67.58,777.41K,1.37%
04/04/2024,67.81,68.6,68.69,67.15,786.96K,-1.92%
03/04/2024,69.14,66.77,69.48,66.68,1.08M,3.57%
02/04/2024,66.76,65.26,66.83,65.01,1.73M,2.93%
01/04/2024,64.86,64.99,65.26,63.87,434.43K,1.66%
28/03/2024,63.8,63.29,64.2,63.06,694.82K,1.61%
27/03/2024,62.79,60.74,62.81,60.61,375.58K,3.56%
26/03/2024,60.63,61.7,61.72,60.63,1.24M,-0.62%
25/03/2024,61.01,61.13,61.89,61.01,499.22K,-0.16%
22/03/2024,61.11,61.27,61.7,61.06,906.14K,-0.54%
21/03/2024,61.44,62.5,63.34,61.25,1.36M,0.92%
20/03/2024,60.88,58.91,61.25,58.72,677.92K,3.45%
19/03/2024,58.85,59.59,59.72,58.74,827.35K,-1.57%
18/03/2024,59.79,60.57,60.57,59.61,967.07K,-0.57%
15/03/2024,60.13,61.39,61.51,59.8,3.30M,-1.31%
14/03/2024,60.93,60.81,61.48,60.53,910.58K,-0.83%
13/03/2024,61.44,60.44,61.92,60.43,865.97K,2.01%
12/03/2024,60.23,59.63,60.39,59.27,784.09K,-0.63%
11/03/2024,60.61,60.03,60.91,59.96,689.10K,0.45%
08/03/2024,60.34,59.83,60.84,59.65,571.49K,1.33%
07/03/2024,59.55,59.75,60.54,59.3,612.20K,0.44%
06/03/2024,59.29,58.78,59.7,58.31,816.42K,2.08%
05/03/2024,58.08,58.51,59.03,57.81,764.25K,0.05%
04/03/2024,58.05,57.38,58.7,57.38,780.75K,1.97%
01/03/2024,56.93,56.32,57.75,55.82,848.33K,1.79%
29/02/2024,55.93,54.96,56.09,54.95,2.96M,3.61%
28/02/2024,53.98,53.1,54.17,53.05,684.08K,0.99%
27/02/2024,53.45,53.13,53.84,52.87,1.27M,1.00%
26/02/2024,52.92,53.18,53.22,52.15,1.29M,-1.67%
23/02/2024,53.82,53.56,54.07,52.82,1.72M,0.81%
22/02/2024,53.39,54.69,54.83,53.09,1.19M,-2.93%
21/02/2024,55,57.77,58.02,53.75,1.81M,-8.00%
20/02/2024,59.78,60.37,60.67,59.52,685.86K,-0.22%
16/02/2024,59.91,59.54,60.33,59.49,396.30K,0.33%
15/02/2024,59.71,59.04,60.44,59,746.03K,1.98%
14/02/2024,58.55,58.64,58.79,57.61,1.01M,-0.32%
13/02/2024,58.74,60.3,60.41,58.35,925.54K,-4.14%
12/02/2024,61.28,61.23,61.39,60.68,680.35K,0.10%
09/02/2024,61.22,61.64,61.64,60.48,372.13K,-0.87%
08/02/2024,61.76,62.26,62.77,61.45,398.10K,-1.69%
07/02/2024,62.82,63.34,63.34,62.64,503.02K,-0.81%
06/02/2024,63.33,63.23,63.58,62.85,408.97K,0.62%
05/02/2024,62.94,62.72,63.17,62.3,723.94K,-0.93%
02/02/2024,63.53,63.08,63.69,62.22,763.16K,-1.26%
01/02/2024,64.34,63.77,64.89,63.62,622.91K,2.11%
31/01/2024,63.01,63.73,64.37,62.66,801.95K,-0.80%
30/01/2024,63.52,64.14,64.57,63.17,604.52K,-0.77%
29/01/2024,64.01,63.63,64.16,62.38,500.92K,1.83%
26/01/2024,62.86,63.01,63.4,62.56,259.71K,-0.29%
25/01/2024,63.04,62.91,63.11,62.35,468.96K,1.32%
24/01/2024,62.22,64.32,64.82,62.2,641.59K,-2.26%
23/01/2024,63.66,62.56,63.79,62.34,605.55K,2.38%
22/01/2024,62.18,61.61,62.27,61.19,440.92K,0.19%
19/01/2024,62.06,62.65,62.73,61.5,657.93K,-0.80%
18/01/2024,62.56,62.35,62.8,61.75,606.92K,0.58%
17/01/2024,62.2,63.64,63.65,62.11,702.72K,-3.63%
16/01/2024,64.54,64.3,64.65,63.47,914.15K,-0.29%
15/01/2024,64.73,65.43,65.43,64.67,104.19K,-0.42%
12/01/2024,65,65.4,66.29,64.56,486.10K,1.59%
11/01/2024,63.98,64.44,64.78,63.47,801.92K,-0.91%
10/01/2024,64.57,63.74,64.81,63.58,638.27K,1.11%
09/01/2024,63.86,64,64,62.67,971.28K,-0.09%
08/01/2024,63.92,63.13,64.21,62.8,461.26K,0.42%
05/01/2024,63.65,63.89,64.75,63.37,820.37K,-0.62%
04/01/2024,64.05,63.56,64.32,62.87,477.25K,0.80%
03/01/2024,63.54,63.73,64.06,63.2,420.47K,-1.60%
02/01/2024,64.57,65.3,65.93,64.33,557.57K,-1.22%
29/12/2023,65.37,65.28,65.44,64.55,392.15K,-0.38%
28/12/2023,65.62,66.32,66.64,65.57,498.91K,-1.53%
27/12/2023,66.64,66.04,67.05,65.84,516.66K,0.76%
22/12/2023,66.14,66.64,67.39,66.04,504.89K,0.53%
21/12/2023,65.79,65.66,66.12,65.46,348.63K,0.90%
20/12/2023,65.2,66.79,66.92,65.2,544.35K,-2.15%
19/12/2023,66.63,65.52,67.51,64.94,628.14K,1.87%
18/12/2023,65.41,65.48,65.9,64.7,641.63K,0.18%
15/12/2023,65.29,65.69,65.96,64.85,3.50M,-0.79%
14/12/2023,65.81,65.72,67.02,65.5,926.39K,0.66%
13/12/2023,65.38,63.06,65.39,62.44,1.07M,3.74%
12/12/2023,63.02,65.2,65.2,62.75,1.11M,-2.73%
11/12/2023,64.79,63.45,64.88,62.88,549.85K,0.78%
08/12/2023,64.29,63.94,64.8,63.76,554.46K,-1.12%
07/12/2023,65.02,65.57,65.57,64.69,530.54K,-0.28%
06/12/2023,65.2,65.75,66.06,64.88,622.57K,-0.35%
05/12/2023,65.43,65.9,66.27,64.97,905.98K,-1.18%
04/12/2023,66.21,65.53,66.28,65.12,879.23K,-0.94%
01/12/2023,66.84,66.36,66.87,65.59,819.17K,0.74%
30/11/2023,66.35,66.71,67.05,66.19,1.57M,-0.49%
29/11/2023,66.68,66.52,67.11,66.3,717.74K,-0.04%
28/11/2023,66.71,65.1,66.76,64.6,1.06M,2.90%
27/11/2023,64.83,65.12,65.3,64.22,734.00K,1.33%
24/11/2023,63.98,64.94,65.12,63.94,243.71K,-1.04%
23/11/2023,64.65,64.73,64.93,64.41,130.84K,-0.11%
22/11/2023,64.72,64.79,65.09,64.36,522.94K,0.56%
21/11/2023,64.36,63.63,65.55,63.59,1.00M,2.24%
20/11/2023,62.95,62.32,62.97,61.8,391.20K,0.38%
17/11/2023,62.71,63.42,63.57,62.25,465.33K,-0.67%
16/11/2023,63.13,61.88,63.6,61.72,965.35K,3.51%
15/11/2023,60.99,61.37,61.41,60.41,535.67K,-0.62%
14/11/2023,61.37,60.8,61.68,60.47,638.85K,2.66%
13/11/2023,59.78,59.31,59.91,58.8,458.65K,0.79%
10/11/2023,59.31,58.81,60.12,58.49,659.52K,0.00%
09/11/2023,59.31,58.57,60.56,58.15,368.86K,1.35%
08/11/2023,58.52,59.24,60.13,58.29,445.40K,-1.91%
07/11/2023,59.66,60.53,60.63,58.75,809.66K,-2.20%
06/11/2023,61,60.94,61.82,60.77,480.90K,-0.64%
03/11/2023,61.39,59.92,61.94,59.92,506.34K,3.30%
02/11/2023,59.43,60.12,60.12,59.05,451.45K,-0.49%
01/11/2023,59.72,58.83,59.76,58.38,686.02K,1.96%
31/10/2023,58.57,59.92,60.72,58.17,1.08M,-2.50%
30/10/2023,60.07,60.53,60.59,59.17,502.15K,-0.48%
27/10/2023,60.36,59.46,60.39,58.73,408.05K,2.08%
26/10/2023,59.13,59.96,60.03,57.96,564.35K,-1.35%
25/10/2023,59.94,59.95,60.9,59.92,349.88K,-0.02%
24/10/2023,59.95,59.08,60.08,58.88,470.94K,0.45%
23/10/2023,59.68,58.89,59.78,57.85,953.73K,0.86%
20/10/2023,59.17,58.92,60.36,58.76,477.67K,0.37%
19/10/2023,58.95,58.81,59,58.1,320.25K,0.00%
18/10/2023,58.95,59.4,59.93,58.61,564.33K,0.15%
17/10/2023,58.86,58.27,59.12,58.15,447.72K,1.34%
16/10/2023,58.08,57.82,58.47,57.3,428.21K,0.12%
13/10/2023,58.01,57.35,58.21,57.03,569.24K,4.05%
12/10/2023,55.75,56.28,56.64,55.45,401.82K,-1.24%
11/10/2023,56.45,55.92,56.46,55.14,761.85K,2.10%
10/10/2023,55.29,55.22,55.77,54.97,459.90K,1.84%
06/10/2023,54.29,53.73,54.65,53.4,479.31K,1.06%
05/10/2023,53.72,53.3,53.86,53.1,440.53K,0.73%
04/10/2023,53.33,54.04,54.08,52.89,485.88K,-0.87%
03/10/2023,53.8,53.08,53.99,52.67,619.99K,1.05%
02/10/2023,53.24,54.51,54.7,52.92,824.62K,-3.41%
29/09/2023,55.12,55.77,56.17,54.66,1.22M,0.95%
28/09/2023,54.6,54.36,54.66,53.77,808.55K,0.50%
27/09/2023,54.33,55.86,55.88,53.56,727.67K,-3.34%
26/09/2023,56.21,57.04,57.33,56.18,616.37K,-2.06%
25/09/2023,57.39,58.12,58.19,56.96,513.14K,-1.78%
22/09/2023,58.43,58.74,59.69,58.32,447.84K,-0.09%
21/09/2023,58.48,58.96,59.54,58.38,1.08M,-2.74%
20/09/2023,60.13,58.93,60.51,58.86,511.83K,2.16%
19/09/2023,58.86,59.72,59.75,58.8,576.29K,-1.92%
18/09/2023,60.01,59.79,60.28,59.31,393.21K,0.32%
15/09/2023,59.82,58.76,59.95,58.75,2.57M,3.03%
14/09/2023,58.06,57.81,58.51,57.52,761.67K,0.85%
13/09/2023,57.57,58.37,58.48,56.99,709.09K,-1.42%
12/09/2023,58.4,58.01,59.05,58.01,507.98K,-0.31%
11/09/2023,58.58,58.25,58.8,58.17,398.35K,1.77%
08/09/2023,57.56,57,58.21,56.91,597.71K,0.74%
07/09/2023,57.14,56.9,57.28,56.82,703.36K,0.07%
06/09/2023,57.1,56.95,57.31,56.39,717.53K,0.05%
05/09/2023,57.07,58.19,58.9,56.68,635.46K,-2.84%
01/09/2023,58.74,59.89,60.09,58.67,606.85K,-0.34%
31/08/2023,58.94,58.79,59.36,58.28,1.47M,-0.57%
30/08/2023,59.28,59.84,60.35,59.03,356.49K,-0.10%
29/08/2023,59.34,58.65,59.49,58.25,525.38K,1.45%
28/08/2023,58.49,57.45,58.7,57.33,378.91K,2.17%
25/08/2023,57.25,57.5,57.85,56.39,557.33K,-0.28%
24/08/2023,57.41,57.29,58.04,56.92,501.55K,-0.76%
23/08/2023,57.85,57.06,58.37,56.94,446.82K,2.52%
22/08/2023,56.43,56.17,56.51,55.86,541.56K,0.86%
21/08/2023,55.95,55.69,55.95,55.14,410.79K,0.70%
18/08/2023,55.56,55.74,55.82,55.04,420.97K,-0.47%
17/08/2023,55.82,56.31,56.89,55.52,601.36K,-0.62%
16/08/2023,56.17,57.2,57.2,56.1,641.30K,-1.95%
15/08/2023,57.29,59.16,59.28,57.24,941.24K,-3.86%
14/08/2023,59.59,60.37,60.44,59.11,763.61K,-2.10%
11/08/2023,60.87,58.44,61.25,58.11,541.28K,2.73%
10/08/2023,59.25,59.86,59.88,58.61,1.07M,-0.19%
09/08/2023,59.36,59.01,59.5,58.41,750.77K,1.14%
08/08/2023,58.69,58,58.84,57.83,1.14M,-0.17%
04/08/2023,58.79,56.99,58.95,56.99,835.55K,3.81%
03/08/2023,56.63,56.27,56.68,55.73,618.68K,0.41%
02/08/2023,56.4,58.09,58.09,56.34,989.31K,-3.09%
01/08/2023,58.2,58.29,58.67,57.83,486.91K,-1.57%
31/07/2023,59.13,58.46,59.45,58.12,608.65K,1.55%
